File_Name,Min_Value,Max_Value,Mean_Value
img_10_slice_236.npy,-1000,1784,-694.44790625
img_10_slice_237.npy,-1000,1815,-693.14410625
img_10_slice_238.npy,-1000,1845,-691.7153875
img_10_slice_239.npy,-1000,1876,-690.16099375
img_10_slice_24.npy,-1000,2976,-586.12015625
img_10_slice_240.npy,-1000,1907,-688.44144375
img_10_slice_241.npy,-1000,1825,-686.934975
img_10_slice_242.npy,-1000,1808,-685.23825625
img_10_slice_243.npy,-1000,1800,-683.40790625
img_10_slice_244.npy,-1000,1793,-681.43993125
img_10_slice_245.npy,-1000,1846,-679.29799375
img_10_slice_246.npy,-1000,1785,-675.82544375
img_10_slice_247.npy,-1000,1802,-672.16008125
img_10_slice_248.npy,-1000,1819,-668.33663125
img_10_slice_249.npy,-1000,1996,-664.36305625
img_10_slice_25.npy,-1000,2976,-584.6404625
img_10_slice_250.npy,-1000,2174,-660.20204375
img_10_slice_251.npy,-1000,1742,-655.5164375
img_10_slice_252.npy,-1000,1703,-650.60440625
img_10_slice_253.npy,-1000,1686,-645.52323125
img_10_slice_254.npy,-1000,1723,-640.28453125
img_10_slice_255.npy,-1000,1830,-634.862175
img_10_slice_256.npy,-1000,1656,-630.4493875
img_10_slice_257.npy,-1000,1638,-625.82469375
img_10_slice_258.npy,-1000,1621,-621.03931875
img_10_slice_259.npy,-1000,1753,-616.09930625
img_10_slice_26.npy,-1000,2312,-585.07013125
img_10_slice_260.npy,-1000,1893,-610.9764125
img_10_slice_261.npy,-1000,1885,-606.799775
img_10_slice_262.npy,-1000,1878,-602.40151875
img_10_slice_263.npy,-1000,1871,-597.8288875
img_10_slice_264.npy,-1000,1863,-593.08453125
img_10_slice_265.npy,-1000,2006,-588.131625
img_10_slice_266.npy,-1000,1921,-585.07346875
img_10_slice_267.npy,-1000,1962,-581.7696
img_10_slice_268.npy,-1000,2002,-578.26775625
img_10_slice_269.npy,-1000,2043,-574.57606875
img_10_slice_27.npy,-1000,1664,-585.2023875
img_10_slice_270.npy,-1000,2223,-570.66153125
img_10_slice_271.npy,-1000,1936,-568.40594375
img_10_slice_272.npy,-1000,1841,-565.88624375
img_10_slice_273.npy,-1000,1978,-563.1661375
img_10_slice_274.npy,-1000,2165,-560.25570625
img_10_slice_275.npy,-1000,2352,-557.10243125
img_10_slice_276.npy,-1000,2049,-554.44984375
img_10_slice_277.npy,-1000,1887,-551.48581875
img_10_slice_278.npy,-1000,2214,-548.32366875
img_10_slice_279.npy,-1000,2595,-544.96729375
img_10_slice_28.npy,-1000,1499,-585.13645
img_10_slice_280.npy,-1000,2976,-541.3662875
img_10_slice_281.npy,-1000,2976,-540.2359375
img_10_slice_282.npy,-1000,2976,-538.82626875
img_10_slice_283.npy,-1000,2976,-537.2269
img_10_slice_284.npy,-1000,2976,-535.4483
img_10_slice_285.npy,-1000,2976,-533.39198125
img_10_slice_286.npy,-1000,2975,-533.0513125
img_10_slice_287.npy,-1000,2975,-532.41134375
img_10_slice_288.npy,-1000,2975,-531.57033125
img_10_slice_289.npy,-1000,2975,-530.5226
img_10_slice_29.npy,-1000,1843,-584.8590125
img_10_slice_290.npy,-1000,2976,-529.163225
img_10_slice_291.npy,-1000,2976,-529.1942875
img_10_slice_292.npy,-1000,2976,-528.91146875
img_10_slice_293.npy,-1000,2976,-528.42700625
img_10_slice_294.npy,-1000,2976,-527.74090625
img_10_slice_295.npy,-1000,2976,-526.7667625
img_10_slice_296.npy,-1000,2976,-527.96238125
img_10_slice_297.npy,-1000,2976,-528.887125
img_10_slice_298.npy,-1000,2976,-529.62208125
img_10_slice_299.npy,-1000,2976,-530.16000625
img_10_slice_3.npy,-1000,2357,-648.85103125
img_10_slice_30.npy,-1000,2188,-584.27836875
img_10_slice_300.npy,-1000,2976,-530.39923125
img_10_slice_301.npy,-1000,2976,-531.79016875
img_10_slice_302.npy,-1000,2976,-532.91413125
img_10_slice_303.npy,-1000,2976,-533.8458
img_10_slice_304.npy,-1000,2976,-534.60175625
img_10_slice_305.npy,-1000,2976,-535.080675
img_10_slice_306.npy,-1000,2976,-535.95885
img_10_slice_307.npy,-1000,2976,-536.60469375
img_10_slice_308.npy,-1000,2976,-537.07868125
img_10_slice_309.npy,-1000,2976,-537.3744
img_10_slice_31.npy,-1000,1911,-584.2984875
img_10_slice_310.npy,-1000,2976,-537.39693125
img_10_slice_311.npy,-1000,2976,-538.93486875
img_10_slice_312.npy,-1000,2976,-540.2337625
img_10_slice_313.npy,-1000,2976,-541.335825
img_10_slice_314.npy,-1000,2976,-542.23145625
img_10_slice_315.npy,-1000,2976,-542.83548125
img_10_slice_316.npy,-1000,2976,-542.83548125
img_10_slice_317.npy,-1000,2976,-542.83548125
img_10_slice_32.npy,-1000,1777,-584.0125375
img_10_slice_33.npy,-1000,1799,-583.53653125
img_10_slice_34.npy,-1000,1942,-582.8686375
img_10_slice_35.npy,-1000,2168,-581.90765625
img_10_slice_36.npy,-1000,1917,-582.58278125
img_10_slice_37.npy,-1000,1929,-582.9667625
img_10_slice_38.npy,-1000,1973,-583.1485875
img_10_slice_39.npy,-1000,2016,-583.12275625
img_10_slice_4.npy,-1000,2507,-641.8324125
img_10_slice_40.npy,-1000,2144,-582.8071125
img_10_slice_41.npy,-1000,1983,-584.2733875
img_10_slice_42.npy,-1000,1938,-585.4457625
img_10_slice_43.npy,-1000,1958,-586.40685
img_10_slice_44.npy,-1000,1978,-587.15194375
img_10_slice_45.npy,-1000,2022,-587.61020625
img_10_slice_46.npy,-1000,1901,-588.85203125
img_10_slice_47.npy,-1000,1868,-589.78816875
img_10_slice_48.npy,-1000,1901,-590.527525
img_10_slice_49.npy,-1000,1946,-591.06371875
img_10_slice_5.npy,-1000,2976,-634.52274375
img_10_slice_50.npy,-1000,1992,-591.32875
img_10_slice_51.npy,-1000,1842,-592.42895625
img_10_slice_52.npy,-1000,1848,-593.23234375
img_10_slice_53.npy,-1000,1854,-593.8442
img_10_slice_54.npy,-1000,1860,-594.2778
img_10_slice_55.npy,-1000,1939,-594.474525
img_10_slice_56.npy,-1000,1857,-595.39431875
img_10_slice_57.npy,-1000,1831,-596.03785
img_10_slice_58.npy,-1000,1840,-596.5037
img_10_slice_59.npy,-1000,1850,-596.793575
img_10_slice_6.npy,-1000,2976,-629.898475
img_10_slice_60.npy,-1000,1881,-596.80928125
img_10_slice_61.npy,-1000,1862,-598.0952625
img_10_slice_62.npy,-1000,1864,-599.077475
